dataset_id	file_name	source_url	download_date	file_size	sha256	file_role	note
GSE183904	GSE183904_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE183904&format=file	2026-05-31	345210880	BA089D1DC186826E84D2199D1EB6942C35EB8FB70E7A5D2B20650B72982B90B3	supplementary_processed_expression_archive	Downloaded via NCBI FTP direct URL with 8 HTTP range parts through proxy 127.0.0.1:7897; GEO states raw files were not submitted; archive contains GSM sample CSV.gz matrices.
SCENIC_hg38_v10	allTFs_hg38.txt	https://resources.aertslab.org/cistarget/tf_lists/allTFs_hg38.txt	2026-06-07	11690	3953034F84112C60D3D8EF15B0E0C8AC5FCE0B40D2C7C0824C2945C70CEE2523	scenic_human_tf_list	Researcher downloaded locally, copied into SCENIC_resources/tf_lists for F3.3 pySCENIC.
SCENIC_hg38_v10	motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl	https://resources.aertslab.org/cistarget/motif2tf/motifs-v10nr_clust-nr.hgnc-m0.001-o0.0.tbl	2026-06-07	98718421	81EB754118E27E854974301B1400FCF519489F8BE5249239671FB288CB501C31	scenic_motif_to_tf_annotation	Downloaded from Aerts lab cisTarget resources for F3.3 pySCENIC.
SCENIC_hg38_v10	hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	2026-06-07	311298530	9C4026A3A8E25FE07CF96749644E2CA028B787410829B30B9932574DC6E78BDB	scenic_motif_ranking_database_10kb	Downloaded from Aerts lab cisTarget hg38 refseq_r80 mc_v10_clust gene_based resources using parallel HTTP range chunks.
SCENIC_hg38_v10	hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather	2026-06-07	312955770	50BD3A2E0DA17BF74AD31B1A2F284EBBACFAD700A07A540A7A1D3DB5E185EAAC	scenic_motif_ranking_database_500bp	Downloaded from Aerts lab cisTarget hg38 refseq_r80 mc_v10_clust gene_based resources using parallel HTTP range chunks.
GSE183904	GSE183904_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183904/matrix/GSE183904_series_matrix.txt.gz	2026-06-09	3941	CC24A924F6B59A1EC561D1DDC894783E443E9915825B8EBF84F2E184421F55CC	geo_series_matrix_metadata	F0 metadata for sample_info construction
GSE235046	GSE235046_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235046/matrix/GSE235046_series_matrix.txt.gz	2026-06-09	3001	EDE708EA1EAE4AE27C1EDDA4340BEF2F26357C491139922D57403AB692888A8E	geo_series_matrix_metadata	F2.1 sample design metadata
GSE235046	GSE235046_Count_table.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235046/suppl/GSE235046_Count_table.txt.gz	2026-06-09	1110939	683EC07B3D81EA8CB6B834B08E071BA9EC2B89F49C61AC303029864B1A110906	bulk_rnaseq_count_table	F2.1 DESeq2 count table
GENCODE_GRCh38_v44	gencode.v44.basic.annotation.gtf.gz	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_44/gencode.v44.basic.annotation.gtf.gz	2026-06-09	29570410	3E52F82C63F8FD860BF632CCDE10441C05751F4C342AD08C0A98E9E2700171A5	infercnv_gene_order_source_gtf	Source GTF for derived hg38 gene order
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_gene_symbols_all_standard_chromosomes.tsv	derived_from:gencode.v44.basic.annotation.gtf.gz	2026-06-09	6061529	994A9B9D3AD287FCC817C49A11120C78DBAD767065FAAC84E77166BF35514DD4	derived_infercnv_gene_order_all_standard_chromosomes	Generated locally from GENCODE v44 basic gene features; includes chr1-22, chrX, chrY, chrM
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_gene_symbols_chr1_22.tsv	derived_from:gencode.v44.basic.annotation.gtf.gz	2026-06-09	5764109	99C7BB8EAB7B46F7A278A3C929B4F892AE1C64590F36D2B67C7D5DF7BD6B9638	derived_infercnv_gene_order_chr1_22_main	Generated locally from GENCODE v44; recommended main inferCNV autosome gene_order candidate
GENCODE_GRCh38_v44	infercnv_gene_order_hg38_gencode_v44_duplicate_gene_symbols.tsv	derived_from:gencode.v44.basic.annotation.gtf.gz	2026-06-09	29294	E87792AF524094A8CA52C17D3563CAA21B89CAB3A716B3727D47F0E392579854	derived_gene_order_duplicate_symbol_report	Cross-chromosome duplicated gene symbols excluded from derived gene_order
GSE15459	GSE15459_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15459/matrix/GSE15459_series_matrix.txt.gz	2026-06-09	42511569	ABDF0D375D30644CBEEDD5A3E0A6ECC806638E7A8D741E5BFE3460C5E8DA7C70	bulk_geo_series_matrix	F5/F2.4 external bulk cohort candidate; platform GPL570
GSE66229	GSE66229_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66229/matrix/GSE66229_series_matrix.txt.gz	2026-06-09	113340046	CFF264857A79011A7A0509F27AD16DFB0226380EC4B346DF3AA7BFC3FC2B10CD	bulk_geo_series_matrix	F5 external bulk cohort candidate; platform GPL570
GSE84426	GSE84426_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84426/matrix/GSE84426_series_matrix.txt.gz	2026-06-09	19811732	191B734860DDA0A0496FDF56E46166A904A0FFA4BE4C66E221EBC09E9F9F0090	bulk_geo_series_matrix	F5 external bulk cohort candidate; platform GPL6947
GSE26253	GSE26253_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26253/matrix/GSE26253_series_matrix.txt.gz	2026-06-09	37949539	B919BE92A87461EC4A19A43BBE4784B6B3C59DD824DF683983C3A3A172A96E20	bulk_geo_series_matrix	F5/F2.4 external bulk cohort candidate; platform GPL8432
GSE62254	GSE62254_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62254/matrix/GSE62254_series_matrix.txt.gz	2026-06-09	85256104	DFD3622A445C0487596E182906E80FBEAF8930AB1ECCA120137DBA6207945145	bulk_geo_series_matrix	F5/F2.4 ACRG external bulk cohort candidate; platform GPL570
GSE84437	GSE84437_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84437/matrix/GSE84437_series_matrix.txt.gz	2026-06-09	130863613	BCB5097075C9EBC11925FECE9A1CE7C0D0C447E8551FAD256337B2460AEB59E7	bulk_geo_series_matrix	F5/F2.4 external bulk cohort candidate; platform GPL6947
GPL570	GPL570.annot.gz	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz	2026-06-09	8471521	D7CD44352127B1E34F3A720EBEA86093EF255A38F1612A85A2962B71BDE8F394	geo_platform_probe_annotation	Probe annotation for GPL570 cohorts
GPL6947	GPL6947.annot.gz	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6947/annot/GPL6947.annot.gz	2026-06-09	6956785	244C4EF6394ABD8C87309318F3F27E9E63C45D2D1C3E89303818F1F63A290824	geo_platform_probe_annotation	Probe annotation for GPL6947 cohorts
GPL8432	GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8432/suppl/GPL8432_HUMANREF-8_V3_0_R1_11282963_A_WGDASL.txt.gz	2026-06-09	10211449	A5271F1C6F0247F7A94E144F1637F8D5299DAF2065523B252958337EFA98591A	geo_platform_probe_annotation_suppl	Supplemental probe annotation for GPL8432; official annot directory unavailable
TCGA-STAD	TCGA-STAD.survival.tsv.gz	https://gdc.xenahubs.net/download/TCGA-STAD.survival.tsv.gz	2026-06-09	3996	E2FBBE163AAE49189CFCEE4B89A7EADEAABB5FB46B6DB7A09C67989EBE3DB86F	tcga_stad_survival_table	Small Xena survival table; expression/clinical matrices returned 403 and were not predownloaded
